orderid,comments,
1001,"The delivery was significantly delayed, I was very hungry and waited too long. Disappointed with the service.",
1002,"The food arrived hot and on time, everything was packed nicely. Great service!",
1003,"I'm missing one item from my order, checked everything and couldn't find it. Need to ensure all items arrive.",
1004,"Delivery status updated regularly, knew exactly when the courier was arriving. Thank you very much!",
1005,Need to return the order because it arrived wrong. How does the return and refund process work?,
1006,"The courier was kind and fast, a good experience overall. No specific complaints.",
1007,"The delivery was delayed due to a restaurant issue, received a quick update. Annoying but I understand.",
1008,"The items were perfectly packed, well done on paying attention to small details.",
1009,I ordered a drink and it didn't come with the rest of the delivery. Where could it be?,
1010,"I wondered when the delivery started, didn't receive a departure confirmation.",
1011,Order 1234567 was delayed by over an hour. I expected it much sooner. Unpleasant experience.,
1012,The courier arrived incredibly fast! Very happy with the speed. Definitely ordering again.,
1013,"Received the order, but the fries platter was completely missing. Please contact me.",
1014,"Delivery tracking was accurate, saw the courier on the map all the way. Excellent!",
1015,The product that arrived doesn't match the picture on the website. I want to return it for a full refund.,
1016,"Everything went smoothly, from ordering to delivery. Wonderful service from Wolt.",
1017,"The estimated delivery time was very long, although a shorter time was stated. Disappointed with the delay.",
1018,"I received a notification that the delivery is on its way, which helps a lot with planning. Thanks for the update.",
1019,"I didn't receive all the dishes I ordered, some of the food just didn't arrive. This is unacceptable.",
1020,How do I cancel an order that has already been dispatched? I have an urgent issue and cannot receive it.,
1021,"Great delivery, food was well packed and the courier was lovely. Highly recommended!",
1022,Order 9876543 was delayed by 45 minutes from the original time. That's a bit too much.,
1023,"The courier called to confirm arrival, excellent customer service. I liked the personal touch.",
1024,"One of the drinks spilled inside the bag, everything was wet. This shouldn't happen.",
1025,Can I get a refund for an item that broke during delivery?,
1026,"Just a smooth and convenient experience, no issues at all. Will definitely use again.",
1027,Longer waiting times than usual today. Is there a special load or any problem?,
1028,"Received an update that the courier arrived at the pickup point. Great, can track it.",
1029,One small bag was completely missing from the entire order. This is really frustrating.,
1030,I want to cancel my order because I waited too long. Can I get a credit?,
1031,"The courier was fast and efficient, everything arrived exactly as I ordered.",
1032,"The delivery was delayed due to traffic, I understood it from the app. Good to have an update.",
1033,Certain items in my order did not arrive at all. Very disappointing.,
1034,"The courier was very nice and professional, arrived exactly on time. Positive service.",
1035,Can I exchange an item that was ordered by mistake? What's the process?,
1036,"No special comments, the delivery was fine. Service as usual.",
1037,"The estimated time kept increasing, and eventually, the delivery was very late. Too bad.",
1038,"Tracking worked well, but the courier seemed to be circling in the same spot for a long time.",
1039,A small package that should have been included was not found. This is concerning.,
1040,"I'm considering returning everything, the delivery arrived too late and I couldn't eat.",
1041,Thank you very much for the fast and efficient service. Very satisfied.,
1042,"Slight delay but not terrible, received a proper notification. Perfectly fine.",
1043,"Received a notification that the delivery was made, but I don't see it at the doorstep.",
1044,"Great job with the careful packaging, the food stayed hot and fresh.",
1045,The refund process was quick and easy. Thanks for the prompt handling.,
1046,"Overall, a good experience. Nothing special to note.",
1047,"The delivery was delayed, and the restaurant didn't answer the phone. Big frustration.",
1048,"The courier was surprisingly fast, I didn't expect that. Hats off!",
1049,Some of the sauces didn't come with the dishes. A bit annoying.,
1050,"Routine order, no problems. Everything arrived as it should.",
1051,My food was cold when it arrived. Very disappointing after waiting so long.,
1052,The app says delivered but I have not received anything yet. Where is my order?,
1053,"Missing the main course, only side dishes arrived. This is unacceptable.",
1054,"I need to return this item, it's the wrong size. What's your policy?",
1055,"First time using Wolt, very smooth experience. Will recommend!",
1056,"Order took almost two hours, which is far too long for a local delivery.",
1057,Got an SMS update when the food was picked up. Good communication.,
1058,My soup spilled all over the bag because it wasn't sealed properly.,
1059,Can I get a re-delivery or a credit for the missing items?,
1060,The rider was polite and efficient. Very happy with the delivery.,
1061,Still waiting for my food. It's 30 minutes past the estimated delivery time.,
1062,"The tracking map froze, couldn't see where the delivery was.",
1063,One of the dessert items was missing from the dessert package.,
1064,The refund for my previous order was processed quickly. Thank you for that.,
1065,"Everything was perfect. Hot food, fast delivery. Excellent job!",
1066,"Delivery took ages, worst service ever. I'm really upset.",
1067,Received a notification that my order is out for delivery. Exciting!,
1068,Forgot my drink again. This happens too often. Please check orders carefully.,
1069,The refund for the incorrect item was issued promptly. Appreciate it.,
1070,"No issues whatsoever, seamless transaction from start to finish.",
1071,The food arrived late and cold. Not what I expected at all.,
1072,"The tracking feature is great, very helpful to know where the courier is.",
1073,"Missing cutlery with my order, even though I specifically requested it.",
1074,"I want to return the entire meal, it was not what I ordered.",
1075,Fast and friendly delivery. Highly satisfied with Wolt today.,
1076,Been waiting for over an hour past the estimated time. Unacceptable delay.,
1077,The courier updated me when they were stuck in traffic. Good heads-up.,
1078,"Part of my order, a side dish, was completely omitted. Frustrating.",
1079,How do I initiate a return for a damaged product?,
1080,"Generally good service, nothing stood out as particularly bad or good.",
1081,"My pizza was cold, indicating a long delay somewhere.",
1082,The delivery status changed rapidly from picked up to delivered. Very efficient.,
1083,Missing the dipping sauce for my fries. Small detail but important.,
1084,Received the wrong order entirely. Need to return this and get my correct food.,
1085,"Smooth process, from ordering to receiving. Well done, Wolt team!",
1086,The driver was polite but very late. A bit of a mixed experience.,
1087,Got an alert when the rider was almost here. Handy feature.,
1088,"Ordered two items, only one arrived. The other is nowhere to be found.",
1089,Can I get a refund if the delivery was significantly later than promised?,
1090,"Everything was fine, no problems with the order or delivery.",
1091,Took forever for my sushi to arrive. It's usually faster.,
1092,The live tracking really helps manage expectations for delivery time.,
1093,"My salad arrived without dressing, even though it was supposed to be included.",
1094,"The food was correct, but I need to return it because I accidentally ordered too much.",
1095,"A standard delivery, nothing to complain about.",
1096,My delivery was so late the restaurant was already closed. What now?,
1097,The courier left the food outside my door as requested. Perfect service.,
1098,One main dish was completely absent from my bag. Very disappointing.,
1099,"I need to return this item, it's not what I ordered.",
1100,"Good service, no issues to report.",
1101,המשלוח התעכב בחצי שעה. ממש לא נעים לחכות כל כך הרבה זמן.,
1102,"האוכל הגיע חם ובזמן, השליח היה חייכן. שירות מעולה!",
1103,חסר לי המשקה שהזמנתי. כל השאר הגיע תקין.,
1104,"ראיתי את השליח על המפה, הוא הגיע בדיוק לפי הצפי. מרוצה.",
1105,"הפריט שהגיע שגוי, רוצה להחזיר ולקבל את הנכון. איך עושים את זה?",
1106,"משלוח רגיל, בלי הפתעות. הכל בסדר.",
1107,ההזמנה התעכבה בגלל תקלה באפליקציה. קיבלתי עדכון.,
1108,"האריזה הייתה מושלמת, שום דבר לא נשפך. שאפו!",
1109,שתי מנות צדדיות פשוט נשכחו מההזמנה. ממש מבאס.,
1110,"צריך לבטל את המשלוח, הוא מאחר מאוד. אפשר זיכוי?",
1111,"האוכל הגיע קר, חיכיתי שעה וחצי. ציפיתי לטוב יותר.",
1112,"שליח מהיר במיוחד, האוכל הגיע חם ותוך דקות. מדהים!",
1113,"הצ'יפס היה חסר לגמרי, רק ההמבורגר הגיע. חייבים לבדוק טוב יותר.",
1114,עדכוני סטטוס היו מדויקים. ידעתי בדיוק איפה המשלוח נמצא. מצוין.,
1115,המנה שהגיעה לא התאימה לתיאור באתר. ארצה להחזיר ולקבל החזר.,
1116,"תהליך הזמנה ומשלוח חלק, אין לי שום תלונות. הכל היה בסדר.",
1117,"הזמן המשוער עבר בהרבה, והאוכל עדיין לא אצלי. מתי זה מגיע?",
1118,קיבלתי התראה שהשליח יצא לדרך. זה עוזר להתארגן.,
1119,לא קיבלתי את כל הקטגוריות שהזמנתי. חלק פשוט לא היו.,
1120,האם אפשר לקבל החזר על משלוח שהתעכב מעל שעה?,
1121,"משלוח מעולה, שליח אדיב. אין על Wolt!",
1122,הזמנה 456789 התעכבה בעשרים דקות. לא דרמטי אבל שמים לב.,
1123,השליח התקשר לוודא מיקום מדויק. שירות אישי וטוב.,
1124,אחת הקופסאות הגיעה פתוחה לגמרי. נשפך הכל.,
1125,צריך להחזיר את המשלוח כי הגיע פגום. מה התהליך?,
1126,חוויה נוחה ומהירה. שום דבר מיוחד לציין. מרוצה מהשירות.,
1127,ההמתנה ארוכה מאוד הפעם. כמעט שעה מעבר לזמן המשוער.,
1128,"הודעה שהאוכל נאסף, זה תמיד טוב לדעת. תודה.",
1129,"פריט אחד, הקינוח, לא הגיע עם שאר הדברים. אשמח שיטפלו בזה.",
1130,"הייתי רוצה לבטל את ההזמנה, היא ממש מתעכבת.",
1131,"השליח הגיע בזמן, הכל היה טרי. מרוצה מאוד.",
1132,המשלוח עוכב בגלל עומס חריג. קיבלתי התראה באפליקציה.,
1133,חלק מהרטבים לא הגיעו עם המנה. זה קצת מבאס.,
1134,השליח היה מאוד נחמד וחייכן. שירות מעולה.,
1135,האם ניתן להחזיר פריט שהוזמן בטעות? מה המדיניות?,
1136,"הכל היה בסדר, משלוח רגיל בלי בעיות. מרוצה.",
1137,"הזמן המשוער לא היה מדויק, והמשלוח איחר בעשרים דקות.",
1138,"מעקב השליח נראה תקין, אבל הוא התעכב בדרך.",
1139,קינוח אחד היה חסר לגמרי מההזמנה. זה לא תקין.,
1140,הזמנתי משהו ספציפי וקיבלתי משהו אחר. רוצה להחזיר.,
1141,תודה על משלוח מהיר ומדויק. הכל הגיע מצוין.,
1142,"היה עיכוב קטן, אבל זה בסדר. קיבלתי עדכון.",
1143,השליח הודיע שהגיע אבל לא ראיתי אותו. איפה ההזמנה?,
1144,"ארוז היטב, האוכל נשאר חם. מעולה!",
1145,החזר כספי טופל במהירות. תודה על השירות היעיל.,
1146,"אין תלונות, הכל היה כפי שצריך.",
1147,"המשלוח איחר בצורה לא הגיונית, והשירות לא עזר.",
1148,השליח הפתיע במהירות הגעתו. מרשים מאוד.,
1149,חסרות תוספות למנה העיקרית. זה לא הגיוני.,
1150,"משלוח רגיל, הכל הגיע כמצופה.",
1151,Наш заказ опоздал более чем на час. Очень расстроены таким долгим ожиданием. (Our order was over an hour late. Very upset about such a long wait.),
1152,"Еда приехала быстро и горячей! Отличный сервис, очень доволен. (The food arrived fast and hot! Excellent service", very satisfied.)
1153,Не хватает одного блюда из заказа. Все остальное привезли. (One dish is missing from the order. Everything else was delivered.),
1154,"Отслеживание было точным, курьер приехал ровно по расписанию. Отлично! (Tracking was accurate", the courier arrived exactly on schedule. Excellent!)
1155,"Хочу вернуть товар, он пришел поврежденным. Как это сделать? (I want to return the item", it arrived damaged. How do I do that?)
1156,"В целом все хорошо, никаких проблем с заказом или доставкой не было. (Overall everything is fine", there were no problems with the order or delivery.)
1157,"Посылка задерживается, хотя обещали быструю доставку. Жду очень долго. (The package is delayed", although fast delivery was promised. I've been waiting for a very long time.)
1158,"Уведомление о том, что курьер уже едет, очень полезно. Спасибо! (The notification that the courier is on the way is very useful. Thanks!)",
1159,Из заказа пропали напитки. Это очень странно. (Drinks are missing from the order. This is very strange.),
1160,"Я хочу отменить заказ, он едет слишком долго. Возможно ли это? (I want to cancel the order", it's taking too long. Is that possible?)
1161,وصلت الطلبية متأخرة جداً، كنت جائعاً جداً وانتظرت طويلاً. خيبة أمل في الخدمة. (The order arrived very late, I was very hungry and waited a long time. Disappointed with the service.)
1162,الطعام وصل ساخناً وفي الوقت المحدد، كل شيء كان معبأ بشكل جيد. خدمة رائعة! (The food arrived hot and on time, everything was well packed. Great service!)
1163,ينقصني صنف واحد من طلبي، بحثت عن كل شيء ولم أجده. يجب التأكد من وصول جميع الأصناف. (I'm missing one item from my order, searched for everything and couldn't find it. Need to ensure all items arrive.)
1164,حالة التوصيل يتم تحديثها بانتظام، علمت بالضبط متى سيصل المندوب. شكراً جزيلاً! (Delivery status is regularly updated, I knew exactly when the courier would arrive. Thank you very much!)
1165,أرغب في إرجاع الطلب لأنه وصل خطأ. كيف تتم عملية الإرجاع واسترداد الأموال؟ (I want to return the order because it arrived wrong. How does the return and refund process work?),
1166,كان المندوب لطيفاً وسريعاً، تجربة جيدة بشكل عام. لا توجد شكاوى محددة. (The courier was kind and fast, a good experience overall. No specific complaints.)
1167,Lieferung war sehr spät. Ich habe viel länger gewartet als erwartet. Nicht gut. (Delivery was very late. I waited much longer than expected. Not good.),
1168,Das Essen kam pünktlich und warm an. Alles war gut verpackt. Super Service! (The food arrived on time and warm. Everything was well packed. Super service!),
1169,Ein Artikel fehlt in meiner Bestellung. Das ist ärgerlich. (One item is missing from my order. That's annoying.),
1170,"Der Lieferstatus war immer aktuell. Ich wusste, wann mein Kurier ankommt. Toll! (The delivery status was always up-to-date. I knew when my courier would arrive. Great!)",
1171,"Ich möchte diese Bestellung zurücksenden, da sie falsch ist. Wie funktioniert das? (I want to return this order as it is wrong. How does that work?)",
1172,Der Kurier war freundlich und effizient. Insgesamt eine positive Erfahrung. (The courier was friendly and efficient. Overall a positive experience.),
1173,"ትዕዛዙ ዘግይቷል, በጣም ተርቤ ነበር እና ብዙ ጠበቅኩ. በአገልግሎቱ ተበሳጨሁ. (The order was late", I was very hungry and waited a long time. Disappointed with the service.)
1174,ምግቡ በሰዓቱ እና ትኩስ ደርሷል. ሁሉም ነገር በጥሩ ሁኔታ ተጭኖ ነበር. ምርጥ አገልግሎት! (The food arrived on time and hot. Everything was well packed. Great service!),
1175,ከጥያቄዬ አንድ ዕቃ ጠፍቷል. ሁሉንም ነገር ፈትሸኩ ግን አላገኘሁትም. (One item is missing from my order. I checked everything but couldn't find it.),
1176,"የማድረስ ሁኔታ በመደበኛነት ተዘምኗል, መልእክተኛው መቼ እንደሚመጣ በትክክል አውቅ ነበር. በጣም አመሰግናለሁ! (Delivery status was updated regularly", I knew exactly when the courier would arrive. Thank you very much!)
1177,ትዕዛዙ ስህተት ስለደረሰ መመለስ እፈልጋለሁ. የመመለሻ እና ገንዘብ ተመላሽ ሂደት እንዴት ነው? (I want to return the order because it arrived wrong. How does the return and refund process work?),
1178,"መልእክተኛው ደግ እና ፈጣን ነበር, በአጠቃላይ ጥሩ ልምድ. የተለየ ቅሬታ የለኝም. (The courier was kind and fast", a good experience overall. I have no specific complaints.)
1179,"Delivery was incredibly slow, took more than 90 minutes. Unacceptable.",
1180,"Food arrived fresh and hot, very happy with the quick service.",
1181,"My burger was missing the cheese, even though it was on the order.",
1182,"Tracking works perfectly, I can see the rider's progress in real-time.",
1183,"The order arrived damaged, I need a full refund or a replacement.",
1184,"Smooth process, nothing to complain about. Great job Wolt.",
1185,"The estimated time was very misleading, the order arrived much later.",
1186,Got a text update as soon as the courier left the restaurant.,
1187,Missing my entire side order of spring rolls. This is not okay.,
1188,Can I return food if I simply changed my mind after ordering?,
1189,"Fast delivery, friendly driver. A pleasant experience.",
1190,"Still waiting for my order, it's been over an hour past the original ETA.",
1191,"The delivery status keeps changing, very confusing. Is it coming or not?",
1192,My drink was missing. Happens too often. Please check twice.,
1193,The item was broken on arrival. I'd like to return it and get a new one.,
1194,"Generally a good service, reliable and convenient.",
1195,"The driver took a very long route, delaying the delivery significantly.",
1196,Got a notification as soon as the rider was at my door. Very convenient.,
1197,"Ordered dessert, but it was not in the bag. A real shame.",
1198,"I need to return this item, it's not what I expected at all.",
1199,"Excellent service, no complaints at all.",
1200,"The delivery was late by 30 minutes, which is frustrating.",
1201,"השליח הגיע בזמן קצר, הכל היה ארוז מעולה.",
1202,"חסר סכום בהזמנה. ביקשתי במיוחד.""",
1203,"סטטוס המשלוח היה מעולה, כל הזמן הייתי מעודכן.",
1204,"רוצה להחזיר את המוצר, הוא הגיע שבור. מה לעשות?",
1205,"המשלוח עוכב בגלל בעיה במסעדה, קיבלתי הודעה.",
1206,"שום דבר לא הגיע, כמעט שעתיים המתנה. זה הזוי.",
1207,מעקב משלוחים נוח מאוד. יודעים בדיוק איפה ההזמנה.,
1208,"חסרה מנה עיקרית אחת, קיבלתי רק תוספות.",
1209,האם ניתן לקבל החזר על משלוח שלא הגיע כלל?,
1210,"חוויה מעולה, שליח אדיב ומהיר.",
1211,הזמנה 789123 התעכבה בשעה. חוסר סבלנות.,
1212,קיבלתי הודעה שהמשלוח נאסף. זה עוזר מאוד.,
1213,חלק מהתוספות שהזמנתי פשוט לא היו. מאכזב.,
1214,המנה לא הייתה טובה וברצוני להחזירה. אפשר לקבל החזר?,
1215,הכל הגיע בדיוק כמו שהזמנתי. מרוצה מאוד.,
1216,"האוכל הגיע קר, למרות שהשליח היה מהיר. כנראה בעיה במסעדה.",
1217,"הודעת הסטטוס לא התעדכנה בזמן אמת, הייתי בחוסר ודאות.",
1218,חסר בקבוק שתייה שלם מההזמנה. זה לא תקין.,
1219,האם ניתן להחזיר מוצר אם הגיעה אריזה פתוחה?,
1220,"משלוח בסדר גמור, ללא בעיות. תודה.",
1221,הזמנה 234567 התעכבה בגלל תקלה טכנית. קיבלתי התראה.,
1222,"השליח התקשר לוודא הגעה, חמוד מצידו.",
1223,חלק מהרטבים לא הגיעו עם המנה. זה לא מה שציפיתי.,
1224,"המנה הגיעה לא תקינה, רוצה להחזיר ולקבל זיכוי.",
1225,משלוח זריז ויעיל. הכל היה בסדר גמור.,
1226,היה עיכוב קל אבל קיבלתי עדכון. מבין את המצב.,
1227,המעקב הראה שהשליח תקוע כבר 20 דקות. משהו לא בסדר.,
1228,"חסרה תוספת שהזמנתי, זה מוריד מהחוויה.",
1229,איך מבצעים החזר על הזמנה שגויה?,
1230,חוויה טובה בסך הכל. שירות מהיר ואדיב.,
1231,Наш заказ был доставлен с задержкой в 40 минут. Это неприемлемо. (Our order was delivered with a 40-minute delay. This is unacceptable.),
1232,"Курьер приехал очень быстро, еда была горячей. Спасибо! (The courier arrived very quickly", the food was hot. Thank you!)
1233,Отсутствует одна порция из комплекта. Почему не все привезли? (One portion is missing from the set. Why wasn't everything delivered?),
1234,Статус доставки был понятен и обновлялся в реальном времени. Очень удобно. (The delivery status was clear and updated in real time. Very convenient.),
1235,"Я хочу вернуть этот товар, он не соответствует описанию. Что мне делать? (I want to return this item", it doesn't match the description. What should I do?)
1236,"Все было доставлено без проблем, никаких нареканий. Отличная работа. (Everything was delivered without problems", no complaints. Great job.)
1237,"Заказ задержался, но я получил уведомление. Это немного успокоило. (The order was delayed", but I received a notification. This calmed me down a bit.)
1238,"Уведомление о том, что заказ уже у курьера, пришло вовремя. Отлично. (The notification that the order is already with the courier arrived on time. Excellent.)",
1239,"Из заказа исчез салат. Он был в списке, но его нет. (The salad disappeared from the order. It was on the list", but it's not here.)
1240,"Можно ли получить возврат средств за заказ, который так долго ехал? (Can I get a refund for an order that took so long?)",
1241,"Lieferung hat ewig gedauert, bin sehr enttäuscht. (Delivery took forever", I'm very disappointed.)
1242,Das Essen kam super schnell an und war perfekt. Gerne wieder! (The food arrived super fast and was perfect. Gladly again!),
1243,"Eine Beilage fehlt komplett. Das ist ärgerlich, da ich dafür bezahlt habe. (A side dish is completely missing. That's annoying", as I paid for it.)
1244,Ich konnte die Lieferung perfekt verfolgen. Sehr transparent und hilfreich. (I could track the delivery perfectly. Very transparent and helpful.),
1245,"Dieses Gericht war nicht das, was ich bestellt habe. Ich muss es zurückgeben. (This dish was not what I ordered. I need to return it.)",
1246,"Alles bestens, wie immer. Wolt ist zuverlässig. (Everything is great", as always. Wolt is reliable.)
1247,Die Lieferzeit wurde immer wieder verschoben. Sehr frustrierend. (The delivery time was constantly postponed. Very frustrating.),
1248,"Habe eine Benachrichtigung bekommen, dass der Fahrer in der Nähe ist. Praktisch! (Got a notification that the driver is nearby. Handy!)",
1249,Das Getränk fehlte in meiner Lieferung. Ich bin nicht glücklich darüber. (The drink was missing from my delivery. I'm not happy about that.),
1250,Kann ich eine Rückerstattung für eine zu späte Lieferung erhalten? (Can I get a refund for a too-late delivery?),
1251,أريد أن أسترجع هذا الطبق لأنه لم يعجبني. هل هذا ممكن؟ (I want to return this dish because I didn't like it. Is that possible?),
1252,الطعام وصل بسرعة مدهشة، خدمة رائعة كالعادة. (The food arrived surprisingly fast, great service as usual.)
1253,الشوربة لم تصل مع باقي الطلب، هذا غير مقبول. (The soup did not arrive with the rest of the order, this is unacceptable.)
1254,تتبعت الطلب على الخريطة مباشرة، والمندوب كان دقيقاً. (I tracked the order live on the map, and the courier was accurate.)
1255,كان يجب أن أستلم عبوتين من العصير، لكن وصلت واحدة فقط. (I should have received two juice containers, but only one arrived.)
1256,خدمة ممتازة، المندوب كان ودوداً والطلب وصل كاملاً. (Excellent service, the courier was friendly and the order arrived complete.)
1257,"ትዕዛዙን ለመሰረዝ እፈልጋለሁ, በጣም ዘግይቷል. እንዴት ነው የምችለው? (I want to cancel the order", it's very late. How can I do it?)
1258,ምግቡ ሞቃት እና ትኩስ ደርሷል. በጣም አመሰግናለሁ Wolt! (The food arrived hot and fresh. Thank you very much Wolt!),
1259,አንዱ ተጨማሪ ነገር ጠፍቷል. ይህ በጣም የሚያበሳጭ ነው. (One extra item is missing. This is very annoying.),
1260,መልእክተኛው በጥሩ ሁኔታ ደርሷል. ምንም ችግር የለም. (The courier arrived well. No problem.),
1261,"Delivery took too long, the food was cold when it arrived. Very disappointing.",
1262,"Quick delivery, hot food, happy customer. Great job!",
1263,Missing the dipping sauce for my nuggets. It was supposed to be included.,
1264,"Tracking was spot on, knew exactly when my order would be here.",
1265,I received a broken bottle of soda. Can I get a replacement or refund?,
1266,"Everything was smooth, no issues from ordering to delivery.",
1267,The estimated delivery time was missed by over 40 minutes.,
1268,Got a notification when the food was picked up by the courier. Helpful.,
1269,Two of my side dishes were missing. Not what I paid for.,
1270,"I need to return this item, it's the wrong color.",
1271,The driver was very polite and efficient. Good service.,
1272,Order took an hour longer than estimated. This is ridiculous.,
1273,The app showed the courier stuck at the restaurant for ages.,
1274,My entire salad order was missing. Very frustrating.,
1275,Can I get a refund for a delivery that was exceptionally late?,
1276,"Overall good, nothing outstanding but no complaints either.",
1277,The delivery was delayed but I received good updates from the app.,
1278,The courier was quick and friendly. Top service!,
1279,Missing the extra rice I added to my order. Where is it?,
1280,"I need to return this item, it arrived crushed.",
1281,המשלוח איחר בצורה משמעותית. הייתי צריך לצאת מהבית.,
1282,"הכל הגיע חם ובדיוק בזמן, השליח היה מקסים.",
1283,חסרה מנת הצד שהזמנתי. זה פשוט לא הגיע.,
1284,הסטטוס התעדכן מצוין. ידעתי בדיוק איפה המשלוח נמצא.,
1285,"רוצה להחזיר את ההזמנה, הגיעה פתוחה. איך מתבצע?",
1286,"חוויה טובה, משלוח רגיל בלי בעיות. מרוצה.",
1287,"ההזמנה התעכבה בגלל המסעדה, קיבלתי עדכון.",
1288,"השליח היה אדיב, האוכל הגיע חם. שירות מעולה.",
1289,חסר לי את המטבל שהזמנתי. קצת מבאס.,
1290,האם אפשר לבטל את ההזמנה? היא מתעכבת המון זמן.,
1291,Наш заказ опоздал на 20 минут. Немного расстроились. (Our order was 20 minutes late. A little upset.),
1292,"Еда прибыла вовремя, курьер был вежлив. Хороший сервис. (The food arrived on time", the courier was polite. Good service.)
1293,Один десерт отсутствовал в пакете. Почему так? (One dessert was missing from the package. Why is that?),
1294,"Отслеживание было очень удобным, постоянно видел движение курьера. (Tracking was very convenient", constantly saw the courier's movement.)
1295,"Хочу оформить возврат, так как привезли не тот размер. (I want to arrange a return", as they brought the wrong size.)
1296,"Всё прошло гладко, без каких-либо сложностей. Спасибо Wolt. (Everything went smoothly", without any complications. Thanks Wolt.)
1297,Die Lieferung war sehr langsam. Das hat mich genervt. (The delivery was very slow. That annoyed me.),
1298,Der Fahrer war schnell und das Essen war warm. Top! (The driver was fast and the food was warm. Top!),
1299,Meine Cola fehlte in der Lieferung. Das ist ärgerlich. (My coke was missing from the delivery. That's annoying.),
1300,Der Rückerstattungsprozess war schnell und einfach. Danke. (The refund process was quick and easy. Thanks.),
1301,وصل الطعام بارداً بعد انتظار طويل. تجربة سيئة للغاية. (The food arrived cold after a long wait. Very bad experience.),
1302,المندوب كان سريعاً جداً، والطعام ساخناً. سعيد جداً بالخدمة. (The courier was very fast, and the food was hot. Very happy with the service.)
1303,نسوا إضافة الشوكولاتة التي طلبتها. هذا خطأ. (They forgot to add the chocolate I ordered. This is a mistake.),
1304,تحديثات الطلب كانت دقيقة، ووصل المندوب في الوقت المتوقع. (Order updates were accurate, and the courier arrived at the expected time.)
1305,تعبئة الطعام لم تكن جيدة، ووصلت بعض المشروبات مسكوبة. (Food packaging was not good, and some drinks arrived spilled.)
1306,خدمة عادية، لا يوجد شيء مميز أو سيء. كل شيء كان مقبولاً. (Normal service, nothing special or bad. Everything was acceptable.)
1307,ትዕዛዙ ከግምት ውስጥ ካለው ጊዜ ዘግይቷል. ይህ በጣም የሚያበሳጭ ነው. (The order was delayed from the estimated time. This is very annoying.),
1308,"ምግቡ በጥሩ ሁኔታ ተጭኖ ነበር, ምንም ነገር አልፈሰሰም. አመሰግናለሁ. (The food was well packed", nothing spilled. Thank you.)
1309,"አንዱ ዋና ምግብ ጠፍቷል, ሌሎች ተጨማሪ ነገሮች ብቻ ደርሰዋል. (One main dish is missing", only other extras arrived.)
1310,የተበላሸ እቃ ስለደረሰኝ መመለስ እፈልጋለሁ. እንዴት ነው የሚሰራው? (I want to return a damaged item. How does it work?),
