orderid,comments,
1311,Delivery was on time and the food was great. Very pleased.,
1312,My order was delayed for almost an hour. This is unacceptable.,
1313,"Missing my cutlery, even though I specifically asked for it.",
1314,"The app tracking worked perfectly, very helpful to see the courier.",
1315,Received the wrong item. I need to return it and get the correct one.,
1316,"Smooth and efficient service, no complaints at all.",
1317,"The estimated delivery time kept increasing, making me wait too long.",
1318,Got an update when the rider was nearby. Good communication.,
1319,A side dish I ordered was not included in the bag. Disappointing.,
1320,How do I get a refund for an order that arrived incomplete?,
1321,Fast and reliable delivery. Everything was perfect.,
1322,"Order took much longer than expected, making the food cold.",
1323,The driver was very polite and professional. Great service.,
1324,Part of my order spilled due to poor packaging. Messy experience.,
1325,"I want to return this, it doesn't match the description online.",
1326,"Overall, a good experience. The food was tasty and hot.",
1327,"The delivery was late by 15 minutes, not ideal but manageable.",
1328,Received an SMS confirmation when the food was picked up.,
1329,Missing the entire dessert from my order. Very frustrating.,
1330,Can I get a re-delivery for the items that were missing?,
1331,My order arrived quickly and the food was hot. Excellent.,
1332,"The delivery was significantly delayed by traffic, understandable with updates.",
1333,Didn't receive the extra sauce I paid for. Small but annoying.,
1334,The courier was friendly and efficient. Good job!,
1335,"I need to return this item, it's not the quality I expected.",
1336,"No problems at all, a standard and reliable delivery service.",
1337,Order took much longer than the updated time. Very frustrating.,
1338,"The live tracking was accurate, helped me know when to expect it.",
1339,One of the main courses was missing. This is a big problem.,
1340,"I want to return this, the meal was completely wrong.",
1341,Thank you for the quick and seamless delivery experience.,
1342,"Slight delay, but the communication was clear. Appreciate it.",
1343,The driver marked it delivered but it's not at my door. Confused.,
1344,"The food was packaged well, nothing spilled or got cold.",
1345,The return process was easy and fast. Very happy with the support.,
1346,Generally satisfied with the service. It was fine.,
1347,My order was very late and cold. Not a good experience.,
1348,"The courier was extremely fast, impressed with the speed.",
1349,Missing my drink again. This is a recurring issue.,
1350,"Routine delivery, no issues to report.",
1351,"המשלוח התעכב ב-25 דקות, היה לי חשוב שיגיע בזמן.",
1352,האוכל הגיע חם מאוד ובדיוק בזמן. שאפו לשליח!,
1353,חסרה לי תוספת אחת למנה. זה לא מה שהזמנתי.,
1354,"המעקב עבד מעולה, ראיתי את השליח מגיע עד לדלת.",
1355,"המנה הגיעה לא נכונה, רוצה להחזיר ולקבל את המנה הנכונה.",
1356,חווית משלוח טובה ומהירה. אין לי הערות מיוחדות.,
1357,הזמנה 123456 התעכבה בגלל עומס במסעדה. קיבלתי עדכון.,
1358,קיבלתי הודעה שהאוכל נאסף. זה תמיד מרגיע לדעת.,
1359,שני פריטים קטנים חסרים מההזמנה. זה ממש מבאס.,
1360,"צריך לבטל את המשלוח, הוא מתעכב יותר מדי.",
1361,Наш заказ задержался на полчаса. Мы уже почти не ждали. (Our order was half an hour late. We almost weren't waiting anymore.),
1362,Еда была доставлена очень быстро и была горячей. Спасибо! (The food was delivered very quickly and was hot. Thank you!),
1363,"Не хватило столовых приборов, хотя я просил. Забыли. (Cutlery was missing", though I asked. They forgot.)
1364,"Статус заказа постоянно обновлялся, это было удобно отслеживать. (The order status was constantly updated", it was convenient to track.)
1365,"Я получил не тот товар, который заказывал. Хочу обменять. (I received the wrong item. I want to exchange it.)",
1366,"Все отлично, как и всегда с Wolt. Очень надежный сервис. (Everything is great", as always with Wolt. Very reliable service.)
1367,"Lieferung hat sehr lange gedauert, bin unzufrieden. (Delivery took a very long time", I am dissatisfied.)
1368,Der Lieferfahrer war sehr nett und schnell. Alles super. (The delivery driver was very nice and fast. Everything great.),
1369,"Mir fehlt eine Sauce, die dabei sein sollte. Das ist ärgerlich. (I'm missing a sauce that should have been included. That's annoying.)",
1370,Kann ich eine Rückerstattung für meine fehlende Bestellung bekommen? (Can I get a refund for my missing order?),
1371,وصل الطلب بارداً، كأن المندوب تأخر كثيراً. غير مقبول. (The order arrived cold, as if the courier was very late. Unacceptable.)
1372,المندوب وصل في وقت قياسي، الطعام كان لا يزال ساخناً. (The courier arrived in record time, the food was still hot.)
1373,نسوا أن يضعوا المشروب الذي طلبته. هذا خطأ شائع. (They forgot to put the drink I ordered. This is a common mistake.),
1374,تتبع الطلب كان دقيقاً للغاية، عرفت موقعه بالضبط. (Order tracking was very accurate, I knew its exact location.)
1375,الطلب وصل متضرراً. أرغب في استرجاعه واسترداد المبلغ. (The order arrived damaged. I want to return it and get a refund.),
1376,تجربة سلسة ومريحة، لا يوجد شيء أشكو منه. (Smooth and comfortable experience, nothing to complain about.)
1377,"ትዕዛዙ ዘግይቷል, ምግብ ቤቱ ስልክ አላነሳም. በጣም ተበሳጨሁ. (The order was delayed", the restaurant didn't answer the phone. I was very upset.)
1378,መልእክተኛው ፈጣን እና አክባሪ ነበር. አመሰግናለሁ. (The courier was fast and respectful. Thank you.),
1379,"አንድ ተጨማሪ ነገር ጠፍቷል, የጎን ምግብ. ይህ ተቀባይነት የለውም. (One extra item is missing", a side dish. This is unacceptable.)
1380,"ትዕዛዙን መመለስ እፈልጋለሁ, በትክክል አልደረሰም. (I want to return the order", it didn't arrive correctly.)
1381,"Delivery was fast and smooth, food arrived hot. Happy customer.",
1382,"Order was late by 45 minutes, very frustrating experience.",
1383,Missing the dipping sauce for my main dish. Annoying oversight.,
1384,"The tracking map was accurate, knew exactly where the driver was.",
1385,Received the wrong meal entirely. Need a refund or correct order.,
1386,"Excellent service, nothing to complain about from start to finish.",
1387,"The ETA kept getting pushed back, eventually the delivery was quite late.",
1388,Got a quick notification when the order was on its way. Helpful.,
1389,My entire side order of chips was missing. Unacceptable.,
1390,Can I return an item if it was broken during transit?,
1391,"Super fast delivery, food was hot. Very pleased.",
1392,"Order was an hour late, completely ruined my dinner plans.",
1393,The driver was polite but the delivery was very slow.,
1394,"Tracking wasn't updating properly, felt lost without information.",
1395,Missing my dessert from the order. This happens too often.,
1396,"I need to return this item, it's not the brand I ordered.",
1397,"Good service, no issues to report. Will order again.",
1398,The delivery was delayed but the driver was apologetic.,
1399,One of the drinks I ordered was not included. Annoying.,
1400,"Routine delivery, nothing out of the ordinary.",
1401,"המשלוח התעכב, האוכל הגיע קר. מאכזב מאוד.",
1402,"השליח היה מהיר ויעיל, הכל הגיע מצוין.",
1403,חסר לי פריט קטן בהזמנה. זה לא בסדר.,
1404,"הסטטוס התעדכן מעולה, ידעתי מתי לצפות.",
1405,"המנה הגיעה שגויה, רוצה להחזיר אותה.",
1406,"חוויה בסדר גמור, ללא בעיות. תודה.",
1407,ההזמנה התעכבה בגלל המסעדה. קיבלתי עדכון.,
1408,"השליח היה מקסים, האוכל הגיע חם.",
1409,חסר לי רוטב אחד. זה קצת מבאס.,
1410,"צריך לבטל את המשלוח, הוא מאחר מאוד.",
1411,Наш заказ опоздал на 50 минут. Ждали очень долго. (Our order was 50 minutes late. Waited very long.),
1412,"Еда была доставлена очень быстро, курьер был вежлив. (The food was delivered very quickly", the courier was polite.)
1413,Отсутствует одна из основных позиций. Очень расстроен. (One of the main items is missing. Very upset.),
1414,"Отслеживание работало отлично, все было понятно. (Tracking worked perfectly", everything was clear.)
1415,Я получил не тот размер обуви. Хочу обменять на правильный. (I received the wrong shoe size. I want to exchange for the correct one.),
1416,"Все было доставлено идеально, очень доволен. (Everything was delivered perfectly", very satisfied.)
1471,The order was late due to restaurant issues. Frustrating.,
1472,"Quick delivery, hot food, great service. Highly recommend.",
1473,Missing the side salad that was supposed to come with my meal.,
1474,"Tracking was a bit off, didn't accurately reflect courier's location.",
1475,"Received a damaged item, needs to be returned for a refund.",
1476,"No problems at all, a smooth and efficient delivery.",
1477,"Order delayed by 20 minutes, quite annoying when hungry.",
1478,Got a text when the courier was almost at my door. Handy.,
1479,My drink was entirely missing from the delivery. Disappointing.,
1480,"I need to return this item, it's not the brand advertised.",
1481,Fast and polite driver. Very satisfied with the service.,
1482,"Delivery was over an hour late, completely ruined dinner plans.",
1483,"The app showed the courier cycling in circles, very confusing.",
1484,Missing one of the main dishes. Unacceptable error.,
1485,Can I get a refund if the delivery was significantly delayed?,
1486,"Overall good service, nothing stood out negatively.",
1487,The estimated delivery time was constantly changing. Frustrating.,
1488,Received notification that the food was picked up. Good info.,
1489,My entire dessert order was missing. Very disappointed.,
1490,"I want to return this, the quality is not what I expected.",
1491,"Smooth delivery, food arrived hot. Excellent experience.",
1492,Order took much longer than promised. Unacceptable delay.,
1493,"The driver was very friendly, but the delivery was slow.",
1494,"Tracking was accurate, knew exactly when to open the door.",
1495,"Missing the extra sauce I paid for. Small detail, but important.",
1496,"I need to return this item, it was the wrong size.",
1497,"Good service, no issues to report. Will order again.",
1498,The delivery was delayed but the driver apologized.,
1499,One of the drinks was not included. Annoying oversight.,
1500,"Routine delivery, everything as expected.",
1501,"המשלוח הגיע באיחור ניכר, הייתי רעב מאוד וחיכיתי יותר מדי זמן. מאוכזב מהשירות.",
1502,"האוכל הגיע חם ובזמן, הכל היה ארוז יפה. שירות מעולה!",
1503,"חסר לי פריט אחד בהזמנה, בדקתי הכל ולא מצאתי אותו. צריכים לוודא שכל הפריטים מגיעים.",
1504,"סטטוס המשלוח התעדכן בצורה שוטפת, ידעתי בדיוק מתי השליח מגיע. תודה רבה!",
1505,צריך להחזיר את ההזמנה כי הגיעה שגויה. איך מתבצע תהליך ההחזרה וההחזר הכספי?,
1506,"השליח היה אדיב ומהיר, חוויה טובה בסך הכל. אין לי תלונות מיוחדות.",
1507,"המשלוח עוכב בגלל בעיה במסעדה, קיבלתי עדכון מהיר. מבאס אבל מבין את המצב.",
1508,"הפריטים היו ארוזים בצורה מושלמת, כל הכבוד על ההקפדה על הפרטים הקטנים.",
1509,הזמנתי שתייה והיא לא הגיעה עם שאר המשלוח. איפה היא יכולה להיות?,
1510,"תהיתי מתי המשלוח יצא לדרך, לא קיבלתי הודעת אישור יציאה.",
1511,הזמנה 1234567 התעכבה מעל שעה. ציפיתי לזה הרבה קודם. חוויה לא נעימה.,
1512,השליח הגיע בזמן קצר להפליא! מרוצה מאוד מהמהירות. בהחלט אזמין שוב.,
1513,"קבלתי את ההזמנה, אבל מגש הצ'יפס היה חסר לגמרי. נא ליצור קשר.",
1514,"מעקב המשלוח היה מדויק, ראיתי את השליח על המפה כל הדרך. מצוין!",
1515,המוצר שהגיע לא תואם את התמונה באתר. מעוניין להחזיר ולקבל זיכוי מלא.,
1516,"הכל עבר חלק, מההזמנה ועד המסירה. שירות נפלא מ-Wolt.",
1517,"זמן האספקה היה ארוך מאוד, למרות שצוין זמן קצר יותר. התאכזבתי מהעיכוב.",
1518,"קיבלתי הודעה שהמשלוח בדרך, זה עוזר מאוד בתכנון. תודה על העדכון.",
1519,"לא קיבלתי את כל המנות שהזמנתי, חלק מהאוכל פשוט לא הגיע. זה לא מקובל.",
1520,איך אני מבטל הזמנה שכבר יצאה לדרך? יש לי בעיה דחופה ואני לא יכול לקבל אותה.,
1521,"Great delivery, food was well packed and the courier was lovely. Highly recommended!",
1522,Order 9876543 was delayed by 45 minutes from the original time. That's a bit too much.,
1523,"The courier called to confirm arrival, excellent customer service. I liked the personal touch.",
1524,"One of the drinks spilled inside the bag, everything was wet. This shouldn't happen.",
1525,Can I get a refund for an item that broke during delivery?,
1526,"Just a smooth and convenient experience, no issues at all. Will definitely use again.",
1527,Longer waiting times than usual today. Is there a special load or any problem?,
1528,"Received an update that the courier arrived at the pickup point. Great, can track it.",
1529,One small bag was completely missing from the entire order. This is really frustrating.,
1530,I want to cancel my order because I waited too long. Can I get a credit?,
1531,"The courier was fast and efficient, everything arrived exactly as I ordered.",
1532,"The delivery was delayed due to traffic, I understood it from the app. Good to have an update.",
1533,Certain items in my order did not arrive at all. Very disappointing.,
1534,"The courier was very nice and professional, arrived exactly on time. Positive service.",
1535,Can I exchange an item that was ordered by mistake? What's the process?,
1536,"No special comments, the delivery was fine. Service as usual.",
1537,"The estimated time kept increasing, and eventually, the delivery was very late. Too bad.",
1538,"Tracking worked well, but the courier seemed to be circling in the same spot for a long time.",
1539,A small package that should have been included was not found. This is concerning.,
1540,"I'm considering returning everything, the delivery arrived too late and I couldn't eat.",
1541,Thank you very much for the fast and efficient service. Very satisfied.,
1542,"Slight delay but not terrible, received a proper notification. Perfectly fine.",
1543,"Received a notification that the delivery was made, but I don't see it at the doorstep.",
1544,"Great job with the careful packaging, the food stayed hot and fresh.",
1545,The refund process was quick and easy. Thanks for the prompt handling.,
1546,"Overall, a good experience. Nothing special to note.",
1547,"The delivery was delayed, and the restaurant didn't answer the phone. Big frustration.",
1548,"The courier was surprisingly fast, I didn't expect that. Hats off!",
1549,Some of the sauces didn't come with the dishes. A bit annoying.,
1550,"Routine order, no problems. Everything arrived as it should.",
1551,Наш заказ опоздал более чем на час. Очень расстроены таким долгим ожиданием.,
1552,"Еда приехала быстро и горячей! Отличный сервис, очень доволен.",
1553,Не хватает одного блюда из заказа. Все остальное привезли.,
1554,"Отслеживание было точным, курьер приехал ровно по расписанию. Отлично!",
1555,"Хочу вернуть товар, он пришел поврежденным. Как это сделать?",
1556,"В целом все хорошо, никаких проблем с заказом или доставкой не было.",
1557,"Посылка задерживается, хотя обещали быструю доставку. Жду очень долго.",
1558,"Уведомление о том, что курьер уже едет, очень полезно. Спасибо!",
1559,Из заказа пропали напитки. Это очень странно.,
1560,"Я хочу отменить заказ, он едет слишком долго. Возможно ли это?",
1561,وصلت الطلبية متأخرة جداً، كنت جائعاً جداً وانتظرت طويلاً. خيبة أمل في الخدمة.,
1562,الطعام وصل ساخناً وفي الوقت المحدد، كل شيء كان معبأ بشكل جيد. خدمة رائعة!,
1563,ينقصني صنف واحد من طلبي، بحثت عن كل شيء ولم أجده. يجب التأكد من وصول جميع الأصناف.,
1564,حالة التوصيل يتم تحديثها بانتظام، علمت بالضبط متى سيصل المندوب. شكراً جزيلاً!,
1565,أرغب في إرجاع الطلب لأنه وصل خطأ. كيف تتم عملية الإرجاع واسترداد الأموال؟,
1566,كان المندوب لطيفاً وسريعاً، تجربة جيدة بشكل عام. لا توجد شكاوى محددة.,
1567,Lieferung war sehr spät. Ich habe viel länger gewartet als erwartet. Nicht gut.,
1568,Das Essen kam pünktlich und warm an. Alles war gut verpackt. Super Service!,
1569,Ein Artikel fehlt in meiner Bestellung. Das ist ärgerlich.,
1570,"Der Lieferstatus war immer aktuell. Ich wusste, wann mein Kurier ankommt. Toll!",
1571,"Ich möchte diese Bestellung zurücksenden, da sie falsch ist. Wie funktioniert das?",
1572,Der Kurier war freundlich und effizient. Insgesamt eine positive Erfahrung.,
1573,"ትዕዛዙ ዘግይቷል, በጣም ተርቤ ነበር እና ብዙ ጠበቅኩ. በአገልግሎቱ ተበሳጨሁ.",
1574,ምግቡ በሰዓቱ እና ትኩስ ደርሷል. ሁሉም ነገር በጥሩ ሁኔታ ተጭኖ ነበር. ምርጥ አገልግሎት!,
1575,ከጥያቄዬ አንድ ዕቃ ጠፍቷል. ሁሉንም ነገር ፈትሸኩ ግን አላገኘሁትም.,
1576,"የማድረስ ሁኔታ በመደበኛነት ተዘምኗል, መልእክተኛው መቼ እንደሚመጣ በትክክል አውቅ ነበር. በጣም አመሰግናለሁ!",
1577,ትዕዛዙ ስህተት ስለደረሰ መመለስ እፈልጋለሁ. የመመለሻ እና ገንዘብ ተመላሽ ሂደት እንዴት ነው?,
1578,"መልእክተኛው ደግ እና ፈጣን ነበር, በአጠቃላይ ጥሩ ልምድ. የተለየ ቅሬታ የለኝም.",
1579,"Delivery was incredibly slow, took more than 90 minutes. Unacceptable.",
1580,"Food arrived fresh and hot, very happy with the quick service.",
1581,"My burger was missing the cheese, even though it was on the order.",
1582,"Tracking works perfectly, I can see the rider's progress in real-time.",
1583,"The order arrived damaged, I need a full refund or a replacement.",
1584,"Smooth process, nothing to complain about. Great job Wolt.",
1585,"The estimated time was very misleading, the order arrived much later.",
1586,Got an SMS update as soon as the courier left the restaurant.,
1587,Missing my entire side order of spring rolls. This is not okay.,
1588,Can I return food if I simply changed my mind after ordering?,
1589,Fast and friendly delivery. Highly satisfied with Wolt today.,
1590,Still waiting for my food. It's 30 minutes past the estimated delivery time.,
1591,"The tracking map froze, couldn't see where the delivery was.",
1592,One of the dessert items was missing from the dessert package.,
1593,The refund for my previous order was processed quickly. Thank you for that.,
1594,"Everything was perfect. Hot food, fast delivery. Excellent job!",
1595,"Delivery took ages, worst service ever. I'm really upset.",
1596,Received a notification that my order is out for delivery. Exciting!,
1597,Forgot my drink again. This happens too often. Please check orders carefully.,
1598,The refund for the incorrect item was issued promptly. Appreciate it.,
1599,"No issues whatsoever, seamless transaction from start to finish.",
1600,The food arrived late and cold. Not what I expected at all.,
1601,"The tracking feature is great, very helpful to know where the courier is.",
1602,"Missing cutlery with my order, even though I specifically requested it.",
1603,"I want to return the entire meal, it was not what I ordered.",
1604,Fast and friendly delivery. Highly satisfied with Wolt today.,
1605,Been waiting for over an hour past the estimated time. Unacceptable delay.,
1606,The courier updated me when they were stuck in traffic. Good heads-up.,
1607,"Part of my order, a side dish, was completely omitted. Frustrating.",
1608,How do I initiate a return for a damaged product?,
1609,"Generally good service, nothing stood out as particularly bad or good.",
1610,"My pizza was cold, indicating a long delay somewhere.",
1611,The delivery status changed rapidly from picked up to delivered. Very efficient.,
1612,Missing the dipping sauce for my fries. Small detail but important.,
1613,Received the wrong order entirely. Need to return this and get my correct food.,
1614,"Smooth process, from ordering to receiving. Well done, Wolt team!",
1615,The driver was polite but very late. A bit of a mixed experience.,
1616,Got an alert when the rider was almost here. Handy feature.,
1617,"Ordered two items, only one arrived. The other is nowhere to be found.",
1618,Can I get a refund if the delivery was significantly later than promised?,
1619,"Everything was fine, no problems with the order or delivery.",
1620,Took forever for my sushi to arrive. It's usually faster.,
1621,The live tracking really helps manage expectations for delivery time.,
1622,"My salad arrived without dressing, even though it was supposed to be included.",
1623,"The food was correct, but I need to return it because I accidentally ordered too much.",
1624,"A standard delivery, nothing to complain about.",
1625,My delivery was so late the restaurant was already closed. What now?,
1626,The courier left the food outside my door as requested. Perfect service.,
1627,One main dish was completely absent from my bag. Very disappointing.,
1628,"I need to return this item, it's not what I ordered.",
1629,"Good service, no issues to report.",
1630,"The delivery was late by 30 minutes, which is frustrating.",
1631,"השליח הגיע בזמן קצר, הכל היה ארוז מעולה.",
1632,"חסר סכום בהזמנה. ביקשתי במיוחד.""",
1633,"סטטוס המשלוח היה מעולה, כל הזמן הייתי מעודכן.",
1634,"רוצה להחזיר את המוצר, הוא הגיע שבור. מה לעשות?",
1635,"המשלוח עוכב בגלל בעיה במסעדה, קיבלתי הודעה.",
1636,"שום דבר לא הגיע, כמעט שעתיים המתנה. זה הזוי.",
1637,מעקב משלוחים נוח מאוד. יודעים בדיוק איפה ההזמנה.,
1638,"חסרה מנה עיקרית אחת, קיבלתי רק תוספות.",
1639,האם ניתן לקבל החזר על משלוח שלא הגיע כלל?,
1640,"חוויה מעולה, שליח אדיב ומהיר.",
1641,הזמנה 789123 התעכבה בשעה. חוסר סבלנות.,
1642,קיבלתי הודעה שהמשלוח נאסף. זה עוזר מאוד.,
1643,חלק מהתוספות שהזמנתי פשוט לא היו. מאכזב.,
1644,המנה לא הייתה טובה וברצוני להחזירה. אפשר לקבל החזר?,
1645,הכל הגיע בדיוק כמו שהזמנתי. מרוצה מאוד.,
1646,"האוכל הגיע קר, למרות שהשליח היה מהיר. כנראה בעיה במסעדה.",
1647,"הודעת הסטטוס לא התעדכנה בזמן אמת, הייתי בחוסר ודאות.",
1648,חסר בקבוק שתייה שלם מההזמנה. זה לא תקין.,
1649,האם ניתן להחזיר מוצר אם הגיעה אריזה פתוחה?,
1650,"משלוח בסדר גמור, ללא בעיות. תודה.",
1651,Наш заказ был доставлен с задержкой в 40 минут. Это неприемлемо.,
1652,"Курьер приехал очень быстро, еда была горячей. Спасибо!",
1653,Отсутствует одна порция из комплекта. Почему не все привезли?,
1654,Статус доставки был понятен и обновлялся в реальном времени. Очень удобно.,
1655,"Я хочу вернуть этот товар, он не соответствует описанию. Что мне делать?",
1656,"Все было доставлено без проблем, никаких нареканий. Отличная работа.",
1657,"Заказ задержался, но я получил уведомление. Это немного успокоило.",
1658,"Уведомление о том, что заказ уже у курьера, пришло вовремя. Отлично.",
1659,"Из заказа исчез салат. Он был в списке, но его нет.",
1660,"Можно ли получить возврат средств за заказ, который так долго ехал?",
1661,"Lieferung hat ewig gedauert, bin sehr enttäuscht.",
1662,Das Essen kam super schnell an und war perfekt. Gerne wieder!,
1663,"Eine Beilage fehlt komplett. Das ist ärgerlich, da ich dafür bezahlt habe.",
1664,Ich konnte die Lieferung perfekt verfolgen. Sehr transparent und hilfreich.,
1665,"Dieses Gericht war nicht das, was ich bestellt habe. Ich muss es zurückgeben.",
1666,"Alles bestens, wie immer. Wolt ist zuverlässig.",
1667,Die Lieferzeit wurde immer wieder verschoben. Sehr frustrierend.,
1668,"Habe eine Benachrichtigung bekommen, dass der Fahrer in der Nähe ist. Praktisch!",
1669,Das Getränk fehlte in meiner Lieferung. Ich bin nicht glücklich darüber.,
1670,Kann ich eine Rückerstattung für eine zu späte Lieferung erhalten?,
1671,أريد أن أسترجع هذا الطبق لأنه لم يعجبني. هل هذا ممكن؟,
1672,الطعام وصل بسرعة مدهشة، خدمة رائعة كالعادة.,
1673,الشوربة لم تصل مع باقي الطلب، هذا غير مقبول.,
1674,تتبعت الطلب على الخريطة مباشرة، والمندوب كان دقيقاً.,
1675,كان يجب أن أستلم عبوتين من العصير، لكن وصلت واحدة فقط.,
1676,خدمة ممتازة، المندوب كان ودوداً والطلب وصل كاملاً.,
1677,"ትዕዛዙን ለመሰረዝ እፈልጋለሁ, በጣም ዘግይቷል. እንዴት ነው የምችለው?",
1678,ምግቡ ሞቃት እና ትኩስ ደርሷል. በጣም አመሰግናለሁ Wolt!,
1679,አንዱ ተጨማሪ ነገር ጠፍቷል. ይህ በጣም የሚያበሳጭ ነው.,
1680,መልእክተኛው በጥሩ ሁኔታ ደርሷል. ምንም ችግር የለም.,
1681,"Delivery was incredibly slow, took more than 90 minutes. Unacceptable.",
1682,"Food arrived fresh and hot, very happy with the quick service.",
1683,"My burger was missing the cheese, even though it was on the order.",
1684,"Tracking works perfectly, I can see the rider's progress in real-time.",
1685,"The order arrived damaged, I need a full refund or a replacement.",
1686,"Smooth process, nothing to complain about. Great job Wolt.",
1687,"The estimated time was very misleading, the order arrived much later.",
1688,Got an SMS update as soon as the courier left the restaurant.,
1689,Missing my entire side order of spring rolls. This is not okay.,
1690,Can I return food if I simply changed my mind after ordering?,
1691,Fast and friendly delivery. Highly satisfied with Wolt today.,
1692,Still waiting for my food. It's 30 minutes past the estimated delivery time.,
1693,"The tracking map froze, couldn't see where the delivery was.",
1694,One of the dessert items was missing from the dessert package.,
1695,The refund for my previous order was processed quickly. Thank you for that.,
1696,"Everything was perfect. Hot food, fast delivery. Excellent job!",
1697,"Delivery took ages, worst service ever. I'm really upset.",
1698,Received a notification that my order is out for delivery. Exciting!,
1699,Forgot my drink again. This happens too often. Please check orders carefully.,
1700,The refund for the incorrect item was issued promptly. Appreciate it.,
1701,"No issues whatsoever, seamless transaction from start to finish.",
1702,The food arrived late and cold. Not what I expected at all.,
1703,"The tracking feature is great, very helpful to know where the courier is.",
1704,"Missing cutlery with my order, even though I specifically requested it.",
1705,"I want to return the entire meal, it was not what I ordered.",
1706,Fast and friendly delivery. Highly satisfied with Wolt today.,
1707,Been waiting for over an hour past the estimated time. Unacceptable delay.,
1708,The courier updated me when they were stuck in traffic. Good heads-up.,
1709,"Part of my order, a side dish, was completely omitted. Frustrating.",
1710,How do I initiate a return for a damaged product?,
1711,"Generally good service, nothing stood out as particularly bad or good.",
1712,"My pizza was cold, indicating a long delay somewhere.",
1713,The delivery status changed rapidly from picked up to delivered. Very efficient.,
1714,Missing the dipping sauce for my fries. Small detail but important.,
1715,Received the wrong order entirely. Need to return this and get my correct food.,
1716,"Smooth process, from ordering to receiving. Well done, Wolt team!",
1717,The driver was polite but very late. A bit of a mixed experience.,
1718,Got an alert when the rider was almost here. Handy feature.,
1719,"Ordered two items, only one arrived. The other is nowhere to be found.",
1720,Can I get a refund if the delivery was significantly later than promised?,
1721,"Everything was fine, no problems with the order or delivery.",
1722,Took forever for my sushi to arrive. It's usually faster.,
1723,The live tracking really helps manage expectations for delivery time.,
1724,"My salad arrived without dressing, even though it was supposed to be included.",
1725,"The food was correct, but I need to return it because I accidentally ordered too much.",
1726,"A standard delivery, nothing to complain about.",
1727,My delivery was so late the restaurant was already closed. What now?,
1728,The courier left the food outside my door as requested. Perfect service.,
1729,One main dish was completely absent from my bag. Very disappointing.,
1730,"I need to return this item, it's not what I ordered.",